 Radioactive Decay Experiment Wed, Mar 11, 2020 11:58 AM
Sample Number	Number of Counts
1	28
2	17
3	32
4	22
5	19
6	28
7	26
8	21
9	21
10	33
11	25
12	25
13	16
14	17
15	17
16	26
17	25
18	21
19	37
20	24
21	18
22	31
23	22
24	23
25	20
26	21
27	13
28	27
29	15
30	21
31	24
32	19
33	21
34	15
35	22
36	14
37	24
38	21
39	20
40	26
41	21
42	14
43	24
44	22
45	21
46	26
47	16
48	32
49	25
50	15
51	19
52	18
53	23
54	26
55	21
56	20
57	19
58	19
59	16
60	17
61	31
62	15
63	16
64	19
65	26
66	14
67	21
68	16
69	27
70	17
71	17
72	19
73	16
74	25
75	20
76	13
77	13
78	23
79	15
80	12
81	13
82	25
83	15
84	9
85	14
86	13
87	20
88	21
89	19
90	15
